Tube,Line,rep_num,CollectionDate,FlowerPos,LongStamenNum,ShortStamenNum,IsSideFlower,collection
44,Col,16,1/17/22,20,4,2,0,
45,SALK_012835,8,1/17/22,18,4,2,0,
45,SALK_012835,8,1/17/22,19,4,2,0,
45,SALK_012835,8,1/17/22,20,4,2,0,
46,SALK_028815,1,1/17/22,16,4,2,0,
46,SALK_028815,1,1/17/22,17,4,2,0,
46,SALK_028815,1,1/17/22,18,4,2,0,
47,Col,2,1/17/22,16,4,2,0,
47,Col,2,1/17/22,17,4,2,0,
47,Col,2,1/17/22,18,4,2,0,
48,Col,10,1/17/22,27,4,2,0,
48,Col,10,1/17/22,28,4,2,0,
48,Col,10,1/17/22,29,4,2,0,
49,SALK_028815,8,1/17/22,17,4,1,0,
49,SALK_028815,8,1/17/22,18,4,2,0,
49,SALK_028815,8,1/17/22,19,4,2,0,
50,Col,13,1/17/22,17,4,2,0,
50,Col,13,1/17/22,18,4,2,0,
50,Col,13,1/17/22,19,4,2,0,
51,SALK_028815,11,1/17/22,23,4,2,0,
51,SALK_028815,11,1/17/22,24,4,2,0,
51,SALK_028815,11,1/17/22,25,4,2,0,
52,Col,17,1/17/22,20,4,2,0,
52,Col,17,1/17/22,21,4,2,0,
52,Col,17,1/17/22,22,4,2,0,
53,Col,5,1/17/22,20,4,2,0,
53,Col,5,1/17/22,21,4,2,0,
53,Col,5,1/17/22,22,4,2,0,
54,SALK_089563,3,1/17/22,17,4,2,0,
54,SALK_089563,3,1/17/22,18,4,2,0,
54,SALK_089563,3,1/17/22,19,4,2,0,
55,Col,11,1/17/22,23,4,2,0,
55,Col,11,1/17/22,24,4,2,0,
55,Col,11,1/17/22,25,4,2,0,
56,Col,20,1/17/22,10,4,2,0,
56,Col,20,1/17/22,11,4,2,0,
56,Col,20,1/17/22,12,4,2,0,
57,SALK_089563,7,1/17/22,10,4,2,0,
57,SALK_089563,7,1/17/22,11,4,2,0,
57,SALK_089563,7,1/17/22,12,4,2,0,
58,SALK_012835,9,1/17/22,8,4,2,1,
58,SALK_012835,9,1/17/22,9,4,2,1,
58,SALK_012835,9,1/17/22,10,4,1,1,
59,SALK_089563,9,1/17/22,18,4,2,0,
59,SALK_089563,9,1/17/22,19,4,2,0,
59,SALK_089563,9,1/17/22,20,4,2,0,
60,SALK_089563,11,1/17/22,17,4,2,0,
