Line,id,stock_num
TK132,268,CS96952 
TK133,269,CS96953 
TK134,270,CS96954 
TK135,271,CS96955 
TK136,272,CS96956 
TK137,273,CS96957 
TK138,274,CS96958 
TK141,275,CS96959 
TK143,276,CS96960 
TK144,277,CS96961 
TK145,278,CS96962 
TK146,279,CS96963 
TK147,280,CS96964 
TK148,281,CS96965 
TK149,282,CS96966 
TK150,283,CS96967 
TK151,284,CS96968 
TK152,285,CS96969 
TK153,286,CS96970 
TK154,287,CS96971 
TK156,288,CS96972 
TK157,289,CS96973 
TK158,290,CS96974 
TK159,291,CS96975 
TK161,292,CS96976 
TK162,293,CS96977 
TK163,294,CS96978 
TK164,295,CS96979 
TK165,296,CS96980 
TK166,297,CS96981 
TK167,298,CS96982 
TK168,299,CS96983 
TK169,300,CS96984 
TK170,301,CS96985 
TK171,302,CS96986 
TK172,303,CS96987 
TK173,304,CS96988 
TK174,305,CS96989 
TK175,306,CS96990 
TK176,307,CS96991 
TK177,308,CS96992 
TK178,309,CS96993 
TK179,310,CS96994 
TK180,311,CS96995 
TK181,312,CS96996 
TK183,313,CS96997 
TK184,314,CS96998 
TK186,315,CS96999 
TK187,316,CS97000 
TK188,317,CS97001 
TK190,318,CS97002 
TK192,319,CS97003 
TK193,320,CS97004 
TK194,321,CS97005 
TK195,322,CS97006 
TK196,323,CS97007 
TK197,324,CS97008 
TK198,325,CS97009 
TK199,326,CS97010 
TK200,327,CS97011 
TK201,328,CS97012 
TK203,329,CS97013 
TK204,330,CS97014 
TK205,331,CS97015 
TK206,332,CS97016 
TK207,333,CS97017 
TK208,334,CS97018 
TK209,335,CS97019 
TK210,336,CS97020 
TK211,337,CS97021 
TK212,338,CS97022 
TK213,339,CS97023 
TK214,340,CS97024 
TK215,341,CS97025
