"id","mean_stamen_number","norm_mean_ss","IT_meandaystoflr","SW_meandaystoflr","ril_ovule_num"
400,6,1.13988249188633,119.4,NA,38
401,5.888888889,0.268838519478982,121.666666666667,134.75,37
402,5.888888889,0.268838519478982,118.666666666667,129.666666666667,29
403,5.916666667,0.396528975997477,121.166666666667,NA,38
405,5.888888889,0.268838519478982,122.666666666667,NA,34
406,NA,NA,NA,NA,26
407,5.733333333,-0.326907355493239,119.166666666667,133.714285714286,28
408,6,1.13988249188633,120.333333333333,NA,32.5
409,6,1.13988249188633,119.166666666667,139.2,43.666667
410,5.833333333,-0.00482974570280406,116.833333333333,128.428571428571,42
411,5.833333333,-0.00482974570280406,122.5,136.75,35
412,5.416666667,-1.00272763420404,117.666666666667,136.333333333333,41
413,5.833333333,-0.00482974570280406,116.8,128,25
414,5.777777778,-0.224027338422406,119,140.75,25
415,6,1.13988249188633,122.333333333333,NA,39
416,4.888888889,-1.91199616510497,117.5,NA,40
417,5.933333333,0.500716969809112,116.6,132.25,32
418,5.722222222,-0.391309603980077,114.5,134.5,48
419,NA,NA,NA,NA,32
420,5.854166667,0.0870448802920246,120.666666666667,133,48
423,5.933333333,0.500716969809112,118.666666666667,131,28
424,6,1.13988249188633,116.5,131.666666666667,46
426,5.166666667,-1.43174853898677,109.833333333333,NA,29
427,5.666666667,-0.514451420884401,118.5,NA,34
428,5.8,-0.130774422330991,119.5,129.75,42
429,5,-1.71303988412093,114.833333333333,NA,35.4
430,NA,NA,NA,NA,33
431,5.6,-0.660909239720822,119.666666666667,131.428571428571,23
432,5.888888889,0.268838519478982,117.8,129.333333333333,29
433,NA,NA,NA,NA,27
434,5.5,-0.843687721392016,111.166666666667,131,36
435,5.555555556,-0.741196704774636,117.5,129.25,44
436,5.222222222,-1.33732205846586,115.666666666667,NA,35
437,4.583333333,-2.75998809325827,111.833333333333,NA,33
438,5.833333333,-0.00482974570280406,119.666666666667,NA,34
439,5.733333333,-0.326907355493239,118.333333333333,NA,44
440,5.066666667,-1.59897305601512,116.833333333333,NA,36
441,NA,NA,NA,NA,27
442,5.6,-0.660909239720822,117.166666666667,NA,37
443,5.8,-0.130774422330991,117.833333333333,NA,28
444,5.733333333,-0.326907355493239,118.5,NA,39
445,6,1.13988249188633,117.5,140,31
446,5.444444444,-0.940773762562063,120,NA,24
447,5.944444444,0.59905988959618,117.666666666667,NA,37
448,5.533333333,-0.78975228996653,109,NA,35
449,5.277777778,-1.25882794167362,118.166666666667,NA,34
450,6,1.13988249188633,116.833333333333,130.333333333333,31
451,NA,NA,NA,NA,NA
452,5.883333333,0.194406733271039,119,NA,32
453,NA,NA,NA,NA,45
454,5.266666667,-1.2914958538007,116.666666666667,128.833333333333,48
455,5.8,-0.130774422330991,116.166666666667,128.4,38
456,5.944444444,0.59905988959618,115.333333333333,NA,41
457,5.944444444,0.59905988959618,118,125.125,44
458,5.6,-0.660909239720822,113.333333333333,NA,39
459,6,1.13988249188633,117.666666666667,131.4,38
460,5.733333333,-0.326907355493239,119,129.4,44
461,5.25,-1.31406401444924,112.25,NA,42
462,4.666666667,-2.37939589592461,115.333333333333,NA,39.5
463,6,1.13988249188633,119.833333333333,132.666666666667,36
464,6,1.13988249188633,117.5,133.75,35.4
465,5.933333333,0.500716969809112,117.666666666667,129,29
466,5.888888889,0.268838519478982,120.666666666667,131,36
467,NA,NA,NA,NA,34
468,5.944444444,0.59905988959618,118,131.8,37
469,6,1.13988249188633,118.666666666667,134.8,45
470,NA,NA,NA,NA,NA
471,NA,NA,NA,NA,NA
472,5.333333333,-1.14918017086526,113,NA,37
473,5.5,-0.843687721392016,121.833333333333,NA,35
474,5.866666667,0.145402534633602,117.833333333333,132,25
475,5.611111111,-0.61357072056104,117.666666666667,128.666666666667,45
476,6,1.13988249188633,109,126.833333333333,35
477,5.033333333,-1.67256820025487,118,NA,32
478,6,1.13988249188633,122.166666666667,NA,36
479,5.533333333,-0.78975228996653,114.5,125.6,28
