QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
1.156632152,0.395725296,5.916666667,5.916666667,578,b,a,b,b
,,,,579,b,a,b,a
-0.234711077,-0.513370313,5.666666667,5.666666667,581,a,b,a,a
-0.728193988,-0.938325959,5.444444444,5.444444444,582,a,b,a,a
-1.694311083,-1.82961391,4.916666667,4.916666667,583,b,a,b,a
,1.136447727,,6,585,b,a,b,a
,1.136447727,,6,586,b,a,b,b
0.129569271,-0.223589258,5.777777778,5.777777778,587,b,b,a,a
,,,,588,a,a,b,b
-0.352815445,-0.612231482,5.611111111,5.611111111,590,b,b,,a
,1.136447727,,6,591,a,a,b,b
,1.136447727,,6,593,b,a,a,b
-0.352815445,-0.612231482,5.611111111,5.611111111,594,a,a,a,a
-0.447326723,-0.692757833,5.583333333,5.583333333,595,a,b,b,a
0.129569271,-0.223589258,5.777777778,5.777777778,596,b,a,a,b
,1.136447727,,6,597,b,b,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,600,b,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,601,b,b,b,b
-0.468852238,-0.711260092,5.566666667,5.566666667,602,b,a,a,a
1.156632152,0.395725296,5.916666667,5.916666667,603,a,b,a,b
,1.136447727,,6,604,a,b,a,b
,1.136447727,,6,605,b,b,b,b
1.156632152,0.395725296,5.916666667,5.916666667,606,b,b,b,b
-2.421327991,-2.525953917,4.6,4.6,607,b,a,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,608,b,a,a,a
0.666401288,0.145120941,5.866666667,5.866666667,609,b,a,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,610,a,b,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,611,b,a,a,b
,1.136447727,,6,612,b,b,b,b
,,,,613,b,a,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,614,b,b,b,b
-0.408386844,-0.659436695,5.6,5.6,616,b,b,b,b
1.156632152,0.395725296,5.916666667,5.916666667,617,b,b,b,b
0.254681544,-0.130521499,5.8,5.8,618,a,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,619,a,b,a,b
-1.078237378,-1.254623731,5.277777778,5.277777778,620,a,a,a,a
,,,,621,a,a,a,b
,1.136447727,,6,623,b,a,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,624,a,,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,625,a,b,a,a
0.666401288,0.145120941,5.866666667,5.866666667,627,a,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,628,b,b,a,a
,1.136447727,,6,629,a,a,a,b
0.884755232,0.268308923,5.888888889,5.888888889,631,a,a,b,b
1.156632152,0.395725296,5.916666667,5.916666667,632,a,b,a,b
,1.136447727,,6,633,b,b,a,b
0.254681544,-0.130521499,5.8,5.8,635,b,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,638,b,b,b,b
,1.136447727,,6,640,b,a,b,b
1.905608404,0.597760126,5.944444444,5.944444444,641,b,b,a,b
-0.875240063,-1.070008718,5.388888889,5.388888889,642,b,b,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,643,a,a,b,a
,1.136447727,,6,644,a,b,a,b
-0.618747862,-0.841621234,5.5,5.5,645,a,,a,a
,1.136447727,,6,646,a,b,b,b
-0.003230197,-0.326255876,5.733333333,5.733333333,647,a,b,,a
,1.136447727,,6,648,a,a,a,b
-0.837944534,-1.036433389,5.4,5.4,649,a,b,a,a
-2.22961225,-2.341027138,4.666666667,4.666666667,650,b,a,a,a
,,,,651,b,a,a,a
-0.136086908,-0.432490968,5.714285714,5.714285714,653,a,b,a,
0.433091285,-0.004820458,5.833333333,5.833333333,654,b,a,a,b
-0.557304228,-0.787876017,5.533333333,5.533333333,655,b,a,b,
,1.136447727,,6,656,b,a,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,657,a,a,b,b
1.450542787,0.49966967,5.933333333,5.933333333,658,a,b,a,b
-1.137918204,-1.309442168,5.25,5.25,659,b,b,a,b
,1.136447727,,6,660,b,b,a,b
1.156632152,0.395725296,5.916666667,5.916666667,661,b,b,a,b
,,,,662,a,b,a,b
0.884755232,0.268308923,5.888888889,5.888888889,663,b,a,b,a
1.450542787,0.49966967,5.933333333,5.933333333,664,b,a,a,b
-0.875240063,-1.070008718,5.388888889,5.388888889,666,b,b,a,a
-0.408386844,-0.659436695,5.6,5.6,667,a,b,b,a
,1.136447727,,6,670,b,b,a,b
,1.136447727,,6,672,a,a,a,b
0.884755232,0.268308923,5.888888889,5.888888889,673,a,a,b,b
,1.136447727,,6,676,b,a,b,b
0.884755232,0.268308923,5.888888889,5.888888889,677,a,b,b,b
-1.371872628,-1.526348577,5.111111111,5.111111111,680,b,a,a,a
,1.136447727,,6,681,a,b,a,b
,1.136447727,,6,683,a,b,a,b
,1.136447727,,6,684,a,a,a,b
1.450542787,0.49966967,5.933333333,5.933333333,687,b,a,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,688,b,b,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,689,b,a,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,691,a,a,b,b
0.884755232,0.268308923,5.888888889,5.888888889,694,b,b,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,695,b,a,b,b
-0.234711077,-0.513370313,5.666666667,5.666666667,696,a,b,a,b
0.884755232,0.268308923,5.888888889,5.888888889,697,a,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,698,a,b,a,b
0.666401288,0.145120941,5.866666667,5.866666667,700,a,b,b,a
